Date,LTCF,Non_ltcf,Total,Cumulative
2020-02-06,0,1,1,1
2020-02-17,0,1,1,2
2020-03-06,0,1,1,3
2020-03-09,0,2,2,5
2020-03-13,0,1,1,6
2020-03-15,0,1,1,7
2020-03-17,0,3,3,10
2020-03-20,0,2,2,12
2020-03-21,0,2,2,14
2020-03-22,0,2,2,16
2020-03-23,1,4,5,21
2020-03-24,0,1,1,22
2020-03-25,0,7,7,29
2020-03-27,0,1,1,30
2020-03-28,0,2,2,32
2020-03-29,0,2,2,34
2020-03-30,0,2,2,36
2020-03-31,0,1,1,37
2020-04-01,0,3,3,40
2020-04-02,0,2,2,42
2020-04-03,1,0,1,43
2020-04-04,2,0,2,45
2020-04-05,1,1,2,47
2020-04-06,1,0,1,48
2020-04-07,1,0,1,49
2020-04-08,0,2,2,51
2020-04-09,1,3,4,55
2020-04-10,1,0,1,56
2020-04-11,4,1,5,61
2020-04-12,4,2,6,67
2020-04-13,0,1,1,68
2020-04-14,2,0,2,70
2020-04-15,3,1,4,74
2020-04-16,2,1,3,77
2020-04-17,2,3,5,82
2020-04-18,2,2,4,86
2020-04-19,1,1,2,88
2020-04-20,4,1,5,93
2020-04-21,2,1,3,96
2020-04-22,1,2,3,99
2020-04-23,0,1,1,100
2020-04-24,1,0,1,101
2020-04-25,1,0,1,102
2020-04-26,2,1,3,105
2020-04-27,1,1,2,107
2020-04-28,1,1,2,109
2020-04-29,0,1,1,110
2020-04-30,2,1,3,113
2020-05-01,1,1,2,115
2020-05-02,2,1,3,118
2020-05-03,1,1,2,120
2020-05-04,3,1,4,124
2020-05-06,1,1,2,126
2020-05-08,1,0,1,127
2020-05-09,0,1,1,128
2020-05-11,1,1,2,130
2020-05-12,1,0,1,131
2020-05-13,0,1,1,132
2020-05-14,0,1,1,133
2020-05-15,1,0,1,134
2020-05-16,1,0,1,135
2020-05-21,1,0,1,136
2020-05-25,1,0,1,137
2020-05-28,1,1,2,139
2020-05-31,1,1,2,141
2020-06-01,0,1,1,142
2020-06-02,1,0,1,143
2020-06-05,0,1,1,144
2020-06-09,0,1,1,145
2020-06-10,1,0,1,146
2020-06-12,0,1,1,147
2020-06-19,1,0,1,148
2020-06-20,1,0,1,149
2020-06-23,2,0,2,151
2020-06-24,1,0,1,152
2020-06-25,0,1,1,153
2020-06-29,2,0,2,155
2020-07-02,0,1,1,156
2020-07-03,0,1,1,157
2020-07-04,1,1,2,159
2020-07-05,1,2,3,162
2020-07-06,0,2,2,164
2020-07-07,0,1,1,165
